Model:Hubble,Buyer:Open,
Number,HiSpec,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Number,LowSpec,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Number,FTG,P1,P2, P3, P4, P5, P6, P7,P8,P9,P10,Judgment,LowSpec,HiSpec,Date
1,FTG,1.12,1.05,1.12,0.95,0.97,1.05,1.06,1,1.17,0.94,True,0.8,1.2,6/25/2020 12:57:25 PM
1,FTG,1.11,1.05,1.12,0.97,0.97,1.05,1.04,1,1.17,0.94,True,0.8,1.2,6/25/2020 1:00:02 PM
1,FTG,1.12,1.05,1.12,0.97,0.96,1.05,1.04,1.01,1.17,0.93,True,0.8,1.2,6/25/2020 1:02:19 PM
2,FTG,1.12,0.94,1.12,0.96,0.96,1.06,1.04,1,1.19,0.94,True,0.8,1.2,6/25/2020 1:03:19 PM
1,FTG,1.12,1.05,1.12,0.97,0.97,1.06,1.04,0.99,1.1,0.94,True,0.8,1.2,6/25/2020 1:06:49 PM
2,FTG,1.11,1.28,1.15,0.91,0.99,1.05,1.03,1,3.8,0.98,False,0.8,1.2,6/25/2020 1:09:16 PM
3,FTG,1.11,1.42,1.17,0.99,1.07,1.07,1.04,1,3.81,0.98,False,0.8,1.2,6/25/2020 1:09:50 PM
4,FTG,1.1,1.11,1.15,0.91,0.99,2.14,1.04,1,1.09,0.96,False,0.8,1.2,6/25/2020 1:12:05 PM
5,FTG,1.1,1.16,1.15,0.98,1,2.01,1.05,1,1.06,0.98,False,0.8,1.2,6/25/2020 1:13:08 PM
6,FTG,1.1,1.12,1.15,0.91,0.98,1.07,1.03,1,1.09,0.97,True,0.8,1.2,6/25/2020 1:15:03 PM
1,FTG,1.09,1.12,1.03,0.99,0.99,1.07,1.03,0.98,1.08,0.98,True,0.8,1.2,6/25/2020 1:17:51 PM
1,FTG,0.99,1.12,1.13,0.99,1,1.07,1.04,0.99,1.11,0.98,True,0.8,1.2,6/25/2020 1:20:40 PM
1,FTG,0.99,1.12,1.15,0.99,0.98,1.07,1.03,1,1.11,0.96,True,0.8,1.2,6/25/2020 1:23:24 PM
1,FTG,1.1,1.1,1.15,1,0.99,1.07,1.04,0.99,1.1,0.97,True,0.8,1.2,6/25/2020 1:25:33 PM
1,FTG,1.11,1.1,1.13,0.99,1,1.08,1.04,1,1.03,0.99,True,0.8,1.2,6/25/2020 1:30:07 PM
2,FTG,1.28,1.02,1.12,0.97,0.96,1.04,1.04,1,1.08,0.96,False,0.8,1.2,6/25/2020 1:32:06 PM
1,FTG,1.29,1.02,1.12,1.08,0.96,1.04,1.05,1,1.05,0.93,False,0.8,1.2,6/25/2020 1:34:54 PM
2,FTG,1.1,1.1,1.13,1.12,1.93,1.07,1.04,0.84,1.98,0.97,False,0.8,1.2,6/25/2020 1:35:46 PM
3,FTG,1.11,1.11,1.15,1.1,1.92,1.07,1.02,0.84,2.04,0.99,False,0.8,1.2,6/25/2020 1:36:52 PM
4,FTG,1.1,1.11,1.13,1.12,1.01,1.08,1.05,1,1.03,0.98,True,0.8,1.2,6/25/2020 1:37:53 PM
5,FTG,1.1,1.11,4.2,5.01,2.76,0.85,1.23,1,0.9,0.98,False,0.8,1.2,6/25/2020 1:41:51 PM
1,FTG,1.52,1.05,1.11,1.12,1.02,1.11,1.05,1.03,1.03,0.93,False,0.8,1.2,6/25/2020 1:42:50 PM
2,FTG,1.16,1.02,1.13,1.12,1.03,1.14,1.06,1,1.03,0.94,True,0.8,1.2,6/25/2020 1:44:15 PM
3,FTG,1.29,1.02,1.12,1.08,0.97,1.03,1.04,1.01,1.06,0.96,False,0.8,1.2,6/25/2020 1:47:06 PM
1,FTG,1.15,1.04,1.11,1.1,1.01,1.61,0.99,1.03,1.03,0.93,False,0.8,1.2,6/25/2020 1:48:43 PM
2,FTG,1.09,1.02,1.14,1.1,1.03,2.21,0.99,1.04,1.04,0.94,False,0.8,1.2,6/25/2020 1:49:53 PM
3,FTG,1.16,1.02,1.14,1.12,1.03,1.12,0.99,1.03,1.03,0.93,True,0.8,1.2,6/25/2020 1:51:18 PM
4,FTG,1.13,1.02,1.11,1.04,1.01,1.09,1,0.99,1.03,0.94,True,0.8,1.2,6/25/2020 1:53:28 PM
5,FTG,1.18,0.93,1.04,1.08,0.89,1.09,0.98,1.01,1.03,0.88,True,0.8,1.2,6/25/2020 1:56:04 PM
6,FTG,1.16,0.93,1.01,1.09,0.87,1.09,0.95,1,1.03,0.86,True,0.8,1.2,6/25/2020 2:00:04 PM
7,FTG,1.05,0.93,1.09,1,1.21,1.09,0.98,0.86,1.02,0.86,False,0.8,1.2,6/25/2020 2:01:16 PM
8,FTG,1.08,1.07,1.15,1.12,2.14,1.07,0.99,1.01,1.02,0.99,False,0.8,1.2,6/25/2020 2:02:38 PM
9,FTG,1.08,0.07,3.9,4.98,2.76,0.83,1.14,1.01,5.78,0.99,False,0.8,1.2,6/25/2020 2:05:13 PM
1,FTG,1.1,1.07,1.16,1.11,0.99,1.06,0.99,1.02,1.03,0.98,True,0.8,1.2,6/25/2020 2:06:06 PM
2,FTG,1.14,1.02,1.11,1.09,0.96,1.05,0.99,1.02,1.07,0.99,True,0.8,1.2,6/25/2020 2:06:55 PM
3,FTG,1.14,1.04,1.11,1.08,0.97,1.05,0.99,1.01,1.07,0.99,True,0.8,1.2,6/25/2020 2:08:35 PM
4,FTG,1.14,-0.02,4.37,5.05,2.75,-0.02,2,1.01,3.35,0.99,False,0.8,1.2,6/25/2020 2:33:25 PM
5,FTG,1.14,-0.02,4.37,5.05,2.75,-0.02,2,1.01,3.35,0.99,False,0.8,1.2,6/25/2020 5:11:51 PM
